"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_100m3","zooplankton_count","totcnt","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4125,"Microcalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,114,"Oithona spinirostris",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4118,"Paracalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4058,"Pontellidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4059,"Temora",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,108,"Tortanus discaudatus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4019,"Undinula vulgaris",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,1000,"Brachyura",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,554,"Caridea",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,200,"Chaetognatha",165.74454419736,3,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,567,"Crangonidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,317,"Creseis",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2700,"Ctenophora",0,0,649,1,NA
